Iteration,ZLB,ZUB,GAP,Lambda,theta_n,fij,yij,s_lambda
0,0.1605876339537997,3.433130085443592,3.2725424514897923,[1 1 1 1 1 1 1 1 1 1 1 1],0,"[1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",0
1,0.1605876339537997,3.433130085443592,3.2725424514897923,[1 1 1 1 1 1 1 1 1 1 1 1],5.0,"[1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",[ 0. -1. -1. -1. -1.  0. -1. -1. -1. -1. -1. -1.]
2,0.1605876339537997,3.433130085443592,3.2725424514897923,[1 1 1 1 1 1 1 1 1 1 1 1],3.5355339059327373,"[1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",[ 0. -1. -1. -1. -1.  0. -1. -1. -1. -1. -1. -1.]
3,0.1605876339537997,3.433130085443592,3.2725424514897923,[1 1 1 1 1 1 1 1 1 1 1 1],2.886751345948129,"[1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",[ 0. -1. -1. -1. -1.  0. -1. -1. -1. -1. -1. -1.]
4,0.1605876339537997,3.433130085443592,3.2725424514897923,[1 1 1 1 1 1 1 1 1 1 1 1],2.5,"[1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",[ 0. -1. -1. -1. -1.  0. -1. -1. -1. -1. -1. -1.]
5,0.1605876339537997,3.433130085443592,3.2725424514897923,[1 1 1 1 1 1 1 1 1 1 1 1],2.23606797749979,"[1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",[ 0. -1. -1. -1. -1.  0. -1. -1. -1. -1. -1. -1.]
6,0.1605876339537997,3.433130085443592,3.2725424514897923,[1 1 1 1 1 1 1 1 1 1 1 1],2.041241452319315,"[1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",[ 0. -1. -1. -1. -1.  0. -1. -1. -1. -1. -1. -1.]
7,2.2339550201041467,3.433130085443592,1.1991750653394453,"[1.         0.38154761 0.38154761 0.38154761 0.38154761 1.
 0.38154761 0.38154761 0.38154761 0.38154761 0.38154761 0.38154761]",1.889822365046136,"[1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0]",[ 0. -1. -1. -1. -1.  0. -1. -1. -1. -1. -1. -1.]
8,2.0855371157332256,3.433130085443592,1.3475929697103664,"[1.         0.         0.38154761 0.38154761 0.38154761 1.52996551
 0.38154761 0.38154761 0.38154761 0.38154761 0.         0.        ]",1.7677669529663687,"[1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0]",[ 0. -1.  0.  0.  0.  1.  0.  0.  0.  0. -1. -1.]
9,1.524040045020573,3.433130085443592,1.9090900404230189,"[1.         0.         0.38154761 0.38154761 0.38154761 2.09146258
 0.38154761 0.38154761 0.38154761 0.38154761 0.         0.        ]",1.6666666666666667,"[1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0]",[ 0. -1.  0.  0.  0.  1.  0.  0.  0.  0. -1. -1.]
10,0.7694059467606158,3.433130085443592,2.6637241386829764,"[1.         0.         0.38154761 0.38154761 0.38154761 2.84609668
 0.38154761 0.38154761 0.38154761 0.38154761 0.         0.        ]",1.5811388300841895,"[1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0]",[ 0. -1.  0.  0.  0.  1.  0.  0.  0.  0. -1. -1.]
11,-0.23452286153757096,3.433130085443592,3.667652946981163,"[1.         0.         0.38154761 0.38154761 0.38154761 3.85002549
 0.38154761 0.38154761 0.38154761 0.38154761 0.         0.        ]",1.507556722888818,"[1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0]",[ 0. -1.  0.  0.  0.  1.  0.  0.  0.  0. -1. -1.]
12,-1.5579731216836321,3.433130085443592,4.9911032071272246,"[1.         0.         0.38154761 0.38154761 0.38154761 5.17347575
 0.38154761 0.38154761 0.38154761 0.38154761 0.         0.        ]",1.4433756729740645,"[1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0]",[ 0. -1.  0.  0.  0.  1.  0.  0.  0.  0. -1. -1.]
13,-3.288326826917284,3.433130085443592,6.7214569123608765,"[1.         0.         0.38154761 0.38154761 0.38154761 6.90382946
 0.38154761 0.38154761 0.38154761 0.38154761 0.         0.        ]",1.386750490563073,"[1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0]",[ 0. -1.  0.  0.  0.  1.  0.  0.  0.  0. -1. -1.]
